City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Sept-Iles,CA,1/22/22 23:00,50.2001,-66.3821,5.05,79,40,1.01
291,Casablanca,MA,1/22/22 23:00,33.5928,-7.6192,62.33,63,83,4
292,Sheremetyevskiy,RU,1/22/22 23:00,55.98,37.4911,24.91,93,100,11.18
293,Brae,GB,1/22/22 23:00,60.3964,-1.353,48.11,83,57,21.68
294,Monte Alegre De Sergipe,BR,1/22/22 23:00,-10.0272,-37.5622,77.27,72,43,12.95
295,Los Llanos De Aridane,ES,1/22/22 23:00,28.6585,-17.9182,60.55,85,0,5.01
296,Santa Cruz De Tenerife,ES,1/22/22 23:00,28.4682,-16.2546,65.21,91,20,1.99
297,Hami,CN,1/22/22 23:00,42.8,93.45,23.32,55,4,3.6
298,Korla,CN,1/22/22 23:00,41.7597,86.1469,23.74,62,55,5.06
299,Santa Barbara,US,1/22/22 22:56,34.7333,-120.0343,63,33,0,0
300,Kajaani,FI,1/22/22 23:00,64.2273,27.7285,14.05,92,0,9.22
301,Anchorage,US,1/22/22 22:58,61.2181,-149.9003,45.61,84,75,3
302,Kamaishi,JP,1/22/22 23:00,39.2667,141.8833,18.55,63,100,2.98
303,Kenai,US,1/22/22 23:00,60.5544,-151.2583,36.09,96,100,7.38
304,Ayagoz,KZ,1/22/22 23:00,47.9714,80.4392,-12.37,96,25,4.81
305,Namibe,AO,1/22/22 23:00,-15.1961,12.1522,73.44,88,100,6.73
306,Ponta Delgada,PT,1/22/22 23:00,37.7333,-25.6667,60.49,67,75,5.75
307,Fort-Shevchenko,KZ,1/22/22 23:00,44.5086,50.263,38.5,71,100,25.34
308,Mujiayingzi,CN,1/22/22 23:00,42.1167,118.7833,11.39,75,4,1.03
309,Senador Jose Porfirio,BR,1/22/22 23:00,-2.5908,-51.9542,77,84,93,2.75
310,Tadine,NC,1/22/22 23:00,-21.55,167.8833,83.14,74,21,4.99
311,Bud,US,1/22/22 23:00,39.447,-86.1758,32.02,60,68,9.42
312,Jurado,CO,1/22/22 23:00,7.1053,-77.7641,79.09,88,75,2.77
